ferroadas	picadas
impetrada	solicitada
melancolia	tristeza
solucione	resolva
correção	reparação
triturar	moer
assimetria	diferença
decorrência	consequência
associado	ligado
leigos	inexperientes
assegura	garante
reduzir	diminuir
imitações	cópias
contíguas	ligadas
endosso	apoio
letárgico	lento
aferir	conferir
destroços	restos
convencionais	habituais
ressalva	observação
argumentam	alegam
simultâneas	conjuntas
minimizado	diminuído
aparecimento	surgimento
formatação	criação
significativa	considerável
revisar	rever
emissário	mensageiro
diagnóstico	reconhecimento
aperfeiçoou	melhorou
cautelosos	cuidadosos
postulante	candidato
desaparecidos	sumidos
chancela	aprovação
progressiva	gradual
paradoxo	contradição
sonoridade	melodia
propícia	favorável
etária	de idade
arregimentados	agrupados
infectam	contaminam
blitze	fiscalização
pedestal	suporte
parlamentar	deputado
afligem	afetam
melancólico	triste
alcoolizado	bêbado
localismo	regionalismo
contenção	restrição
fermentou	estimulou
vulnerável	frágil 
efêmera	breve
fruto	resultado
pleitos	debates
descrença	desconfiança
fragmentos	pedaços
vanguarda	frente
matador	assassino
despistado	enganado
restringiu	limitou
oscilam	variam
comercializar	vender
evidências	provas
transparência	clareza
predatória	destruidora
acúmulo	concentração
fracassado	malsucedido
fascinada	encantada
inflamado	entusiasmado
compilaram	reuniram
desengonçado	atrapalhado
estimado	avaliado
seqüela	consequência
submetido	sujeito
apenados	punidos
incondicional	total
antídotos	remédios
submetida	levada
branda	fraca
punhado	pouco
protagonizam	estrelam
notificação	comunicação
mariscos	moluscos
funcionários	empregados
estimativa	avaliação
cepas	linhagens
decorrem	acontecem
conduta	maneira
requereu	pediu
concentração	quantidade
adeptos	seguidores
colisão	batida
noticiados	informados
exorbitante	elevada
escrivaninha	mesa
dispositivo	aparelho
grupo	equipe
rechaçada	rejeitada
abastecimento	fornecimento
pontífice	bispo
miscigenada	mestiça
principalmente	especialmente
estimativas	suposições
efetuada	feita
expandir	aumentar
colaboradores	funcionários
escalados	chamados
infectadas	contaminadas
restrições	limitações
infectou	contaminou
turbulenta	agitada
profusão	abundância
notificados	informados
maciças	densas
reflexão	meditação
impecáveis	perfeitos
fundação	base
descontraído	alegre
ampliação	aumento
suvenires	lembranças
pesarosa	triste
requinte	elegância
abranja	inclua
correções	reparos
armazenamento	depósito
matriarca	mãe
ancestrais	antepassados
coordenado	organizado
ressuscitar	reviver
experimento	teste
relevantes	importantes
beneficiadas	favorecidas
cadastrados	registrados
selecionado	escolhido
travado	preso
pujante	forte
celebração	comemoração
subumanas	desumano
maciça	densa
malentendido	conflito
diversidade	variedade
apearam	desmontaram
apreensão	preocupação
debatidas	discutidas
espreitam	observam
turbulentas	agitadas
resolução	solução
capitaneados	chefiados
coordenam	organizam
relatos	informações
rodízio	revezamento
colapso	crise
reivindicações	exigências
cardíaco	do coração
institui	cria
rastreou	investigou
concorrência	competição
restrito	limitado
percurso	caminho
restringe	limita
estruturada	organizada
ocupantes	passageiros
luminosidade	claridade
latrinas	privadas
manutenção	conservação
despencaram	caíram
evidência	indício
inquietam	incomodam
custear	pagar
lacuna	brecha
regulamentar	regular
estimam	calculam
fiscalização	inspeção
confeccionar	produzir
polêmico	controverso
gastrointestinais	intestinais
detritos	restos
financiado	custeado
questão	pergunta
constatar	perceber
sanções	punições
estimar	avaliar
indelével	permanente
calefação	aquecimento
cronista	historiador
conferência	reunião
intervir	interferir
verter	derramar
genética	gênica
andanças	caminhadas
maçantes	chatas
vasculhar	investigar
espectadores	pessoas
dissiparia	espalharia
acessório	objeto
vias	ruas
indignação	revolta
contagem	número
protuberantes	salientes
simulações	estudos
previsíveis	presumíveis
patrulha	ronda
ilustre	importante
legenda	partido
revezados	alternados
gestão	administração
interditada	fechada
frear	parar
entretenimento	diversão
clínicas	médicas
danificar	quebrar
proprietária	dona
científico	tecnológico
adesão	aceitação
contusão	lesão
amostras	porções
linhagem	geração
alastrar	espalhar
conversão	transformação
orbitando	circulando
arregimentada	agrupada
superem	ultrapassem
aparelho	dispositivo
subordinação	submissão
parlamentares	congressistas
desgaste	deterioração
controvérsia	polêmica
flutuações	variações
sondagem	pesquisa
argumenta	alega
integrado	incluído
divergência	discordância
encaminhado	enviado
insólito	incomum
matéria	assunto
conjecturas	hipóteses
persistem	continuam
declínio	caimento
propício	favorável
constantemente	frequentemente
contrariam	negam
trafegava	transitava
compulsório	obrigatório
crucial	crítico
restrição	limitação
conferido	verificado
enquadrada	classificada
panificadora	padaria
impacto	efeito
erguida	construída
eficiência	eficácia
incremento	aumento
lampejos	ideias
depredação	devastação
sigla	partido
transferência	mudança
sequenciar	organizar
quitutes	petiscos
aparentemente	provavelmente
inabalável	firme
emanava	emitia
itens	produtos
expropriar	desapropriar
legítimos	verdadeiros
